eRT,Store,RPC,ProductName,Category,Brand,Segment1,Segment2,Segment3,Segment4,Segment5,Segment6,First POS date,Last POS date,Pantry_flg,Unset_flg,Memo
Lohaco,Lohaco,A601567,【いい買物の日】パンテーン　エクストラダメージケア　トリートメントコンディショナー　詰め替え　超特大　1.700g　P&G,Hair Care,Pantene,Pantene,CD,Extra Damage Care,Refill,Refillx6,,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A601568,【いい買物の日】パンパース おむつ テープ S（4～8kg） 2パック（204枚入） さらさらケア P&G,Baby Care,Pampers,Diaper,Tape,FS,S,UJ,CP,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A606841,ファブリーズ　ダブル除菌 布用 あらいたてのお洗濯の香り　つめかえ用　320mL　消臭スプレー　P&G,Air Care,Febreze,FR,FabricRefresher,Refill,Refillx1,Single,,2017-10-26,2018-02-28,,,
Lohaco,Lohaco,A606842,ファブリーズ　ダブル除菌 布用 あらいたてのお洗濯の香り　つめかえ用　320mL　1セット（3個入）　消臭スプレー　P&G,Air Care,Febreze,FR,FabricRefresher,Refill,Refillx1,Case,3p,2017-10-26,2018-02-28,,,
Lohaco,Lohaco,A607094,【いい買物の日】ジレット プロシールド 髭剃り 替刃4B,B&R,Gillette,Blade,Proshield,Proshield,,4,,2017-11-08,2017-11-11,,,
Lohaco,Lohaco,A607112,【いい買物の日】ジレット プロシールドクール 髭剃り 替刃8B,B&R,Gillette,Blade,Proshield,Proshield Cool,,8,,2017-11-05,2017-11-05,,,
Lohaco,Lohaco,A607113,【いい買物の日】ジレット プロシールド 髭剃り 替刃8B,B&R,Gillette,Blade,Proshield,Proshield,,8,,2017-11-11,2017-11-11,,,
Lohaco,Lohaco,A607162,【いい買物の日】パンパース おむつ テープ 新生児（～5kg） 2パック（228枚入） さらさらケア P&G,Baby Care,Pampers,Diaper,Tape,FS,NB,UJ,CP,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607163,【いい買物の日】パンパース おむつ テープ 新生児（～5kg） 2パック（168枚入） はじめての肌へのいちばん P&G,Baby Care,Pampers,Diaper,Tape,LE,NB,UJ,CP,2017-11-07,2017-11-11,,,
Lohaco,Lohaco,A607164,【いい買物の日】パンパース おむつ テープ S（4～8kg） 2パック（152枚入） はじめての肌へのいちばん P&G,Baby Care,Pampers,Diaper,Tape,LE,S,UJ,CP,2017-11-05,2017-11-11,,,
Lohaco,Lohaco,A607165,【いい買物の日】パンパース おむつ テープ L（9～14kg） 1箱 3パック（204枚入） さらさらケア P&G,Baby Care,Pampers,Diaper,Tape,FS,L,UJ,Case,2017-11-07,2017-11-11,,,
Lohaco,Lohaco,A607166,【いい買物の日】パンパース おむつ テープ M（6～11kg） 1箱 3パック（240枚入） さらさらケア P&G,Baby Care,Pampers,Diaper,Tape,FS,M,UJ,Case,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607168,【いい買物の日】パンパース おむつ テープ M（6～11kg） 1箱（186枚入） はじめての肌へのいちばん P&G,Baby Care,Pampers,Diaper,Tape,LE,M,UJ,Case,2017-11-07,2017-11-12,,,
Lohaco,Lohaco,A607174,【いい買物の日】ジレット プログライド フレックスボール マニュアル 髭剃り 替刃8個入,B&R,Gillette,Blade,Proglide,Proglide Flexball Manual,,8,,2017-11-11,2017-11-11,,,
Lohaco,Lohaco,A607175,【いい買物の日】ジレット　フュージョン5+1　パワー　専用替刃　8個入　髭剃り　替刃　P&G,B&R,Gillette,Blade,Fusion,Fusion power,,8,,2017-11-10,2017-11-10,,,
Lohaco,Lohaco,A607188,【いい買物の日】ジレット プログライド フレックスボール パワー 髭剃り 替刃8個入,B&R,Gillette,Blade,Proglide,Proglide Flexball Power,,8,,2017-11-05,2017-11-11,,,
Lohaco,Lohaco,A607192,【いい買物の日】ジレット フュージョン 5+1 髭剃り 替刃8個入,B&R,Gillette,Blade,Fusion,Fusion manual,,8,,2017-11-06,2017-11-11,,,
Lohaco,Lohaco,A607233,【いい買物の日】h&s モイスチャー コンディショナー 詰め替え 超特大 2L P&G,Hair Care,h&s,h&s,CD,Moisture,Refill,Refillx6,,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607234,【いい買物の日】h&s モイスチャー シャンプー 詰め替え 超特大 2L P＆G,Hair Care,h&s,h&s,SP,Moisture,Refill,Refillx6,,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607263,【いい買物の日】ジレット フュージョン 5+1 髭剃り 替刃12個入,B&R,Gillette,Blade,Fusion,Fusion manual,,12,,2017-11-10,2017-11-11,,,
Lohaco,Lohaco,A607271,【いい買物の日】ジレット プログライド フレックスボール パワー 髭剃り 替刃4個入,B&R,Gillette,Blade,Proglide,Proglide Flexball Power,,4,,2017-11-07,2017-11-08,,,
Lohaco,Lohaco,A607275,【いい買物の日】ジレット　フュージョン5+1　パワー　専用替刃　12個入　髭剃り　替刃　P&G,B&R,Gillette,Blade,Fusion,Fusion power,,12,,2017-11-05,2017-11-05,,,
Lohaco,Lohaco,A607347,【いい買物の日】ジレット フュージョン 5+1 髭剃り 替刃4個入,B&R,Gillette,Blade,Fusion,Fusion manual,,4,,2017-11-07,2017-11-11,,,
Lohaco,Lohaco,A607389,【いい買物の日】レノア本格消臭　フレッシュグリーン　詰め替え　超特大　1.4L×2個　柔軟剤　P&G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607390,【いい買物の日】レノア本格消臭　リラックスアロマ　詰め替え　超特大　1.4L×2個　柔軟剤　P&G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607391,【いい買物の日】レノア本格消臭 フローラルフルーティーソープの香り 詰め替え 超特大 1.4L×2個 柔軟剤 P&G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
Lohaco,Lohaco,A607392,【いい買物の日】レノア本格消臭スポーツ　フレッシュシトラスブルー　詰め替え　超特大　1320ml×2個　柔軟剤　P&G,Fabric Enhancer,Lenor,Liquid,Honkaku Shoshu,Refill,Refillx3,Case,2p,2017-11-05,2017-11-12,,,
